,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:21:00Z,26.55,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:22:00Z,26.600000000000016,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:23:00Z,26.600000000000016,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:24:00Z,26.651428571428593,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:25:00Z,26.700000000000017,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:26:00Z,26.700000000000017,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:27:00Z,26.69428571428573,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:28:00Z,26.688888888888908,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:29:00Z,26.77142857142855,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:30:00Z,26.799999999999983,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:31:00Z,26.877142857142847,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:32:00Z,26.92499999999999,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:33:00Z,26.98857142857143,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:34:00Z,27,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:35:00Z,27,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:36:00Z,27,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:37:00Z,27,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:38:00Z,26.948571428571416,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:39:00Z,26.98857142857143,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:40:00Z,27,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:41:00Z,27.022222222222226,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:42:00Z,27.022857142857145,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:43:00Z,27,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:44:00Z,27,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:45:00Z,26.919999999999984,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:46:00Z,26.899999999999984,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:47:00Z,26.899999999999984,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:48:00Z,26.899999999999984,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:49:00Z,26.862857142857123,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:50:00Z,26.799999999999983,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:51:00Z,26.799999999999983,airTemperature,first
,,0,2024-10-31T12:37:47.815827561Z,2024-11-02T12:37:47.815827561Z,2024-11-01T10:52:00Z,26.81714285714284,airTemperature,first
